,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
27,27.0,0.4177,0.3417,0.0628,0.0092,0.0,0.0,0.3351,0.2946,0.1542,0.08,0.0092,0.0,0.5382,0.2523,0.0,0.0,0.0,0.0,0.4537,0.2737,0.1054,0.0,0.0,0.0
28,28.0,0.459,0.3351,0.0192,0.0,0.0,0.0,0.3489,0.2925,0.1444,0.0838,0.0,0.0,0.5527,0.2328,0.0,0.0,0.0,0.0,0.4712,0.2705,0.0838,0.0,0.0,0.0
29,29.0,0.4445,0.3325,0.0449,0.0,0.0,0.0,0.3838,0.2715,0.1449,0.0622,0.0,0.0,0.5609,0.2213,0.0,0.0,0.0,0.0,0.4386,0.2785,0.1208,0.0,0.0,0.0
30,30.0,0.4085,0.3339,0.078,0.009,0.009,0.0,0.3842,0.2877,0.1347,0.0526,0.0,0.0,0.5532,0.2321,0.0,0.0,0.0,0.0,0.4263,0.2672,0.1425,0.009,0.0,0.0
31,31.0,0.4144,0.3531,0.0441,0.009,0.009,0.0,0.3594,0.3011,0.1347,0.0696,0.0,0.0,0.5532,0.2321,0.0,0.0,0.0,0.0,0.4321,0.2533,0.1503,0.009,0.0,0.0
32,32.0,0.4235,0.3429,0.0617,0.0,0.0,0.0,0.3684,0.2763,0.1747,0.0445,0.0,0.0,0.5622,0.2195,0.0,0.0,0.0,0.0,0.4115,0.2693,0.1593,0.009,0.0,0.0
33,33.0,0.4286,0.3264,0.076,0.0,0.0,0.0,0.3758,0.2744,0.1616,0.0513,0.0,0.0,0.5521,0.2336,0.0,0.0,0.0,0.0,0.4171,0.2677,0.1542,0.0087,0.0,0.0
34,34.0,0.4055,0.3272,0.0924,0.008,0.008,0.0,0.3445,0.3214,0.1633,0.0317,0.0,0.0,0.5504,0.236,0.0,0.0,0.0,0.0,0.4108,0.2611,0.1702,0.008,0.0,0.0
35,35.0,0.4082,0.3282,0.102,0.0,0.0,0.0,0.3633,0.3162,0.16,0.0164,0.0,0.0,0.5513,0.2346,0.0,0.0,0.0,0.0,0.4191,0.2668,0.1459,0.0164,0.0,0.0
36,36.0,0.4055,0.3409,0.0752,0.0078,0.0078,0.0,0.3683,0.3013,0.1586,0.0308,0.0,0.0,0.5596,0.2231,0.0,0.0,0.0,0.0,0.3791,0.2838,0.1784,0.0078,0.0078,0.0
